country,iso3,year,indicator,indicator_code,value,error
Belgium,BEL,2023.0,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,1.71412195515242,
Belgium,BEL,2024.0,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,1.07045413019414,
Belgium,BEL,2020.0,gdp_per_capita_usd,NY.GDP.PCAP.CD,45906.2875805246,
Belgium,BEL,2021.0,gdp_per_capita_usd,NY.GDP.PCAP.CD,51658.238294958,
Belgium,BEL,2022.0,gdp_per_capita_usd,NY.GDP.PCAP.CD,50605.7496677086,
Belgium,BEL,2023.0,gdp_per_capita_usd,NY.GDP.PCAP.CD,55291.4754541329,
Belgium,BEL,2024.0,gdp_per_capita_usd,NY.GDP.PCAP.CD,56614.5679499036,
Belgium,BEL,2020.0,gov_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,,
Belgium,BEL,2021.0,gov_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,,
Belgium,BEL,2022.0,gov_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,,
Belgium,BEL,2023.0,gov_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,,
Belgium,BEL,2024.0,gov_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,,
Belgium,BEL,2020.0,inflation_cpi_pct,FP.CPI.TOTL.ZG,0.740791812220344,
Belgium,BEL,2021.0,inflation_cpi_pct,FP.CPI.TOTL.ZG,2.44024851144084,
Belgium,BEL,2022.0,inflation_cpi_pct,FP.CPI.TOTL.ZG,9.597511728725,
Belgium,BEL,2023.0,inflation_cpi_pct,FP.CPI.TOTL.ZG,4.04901077613941,
Belgium,BEL,2024.0,inflation_cpi_pct,FP.CPI.TOTL.ZG,3.14349136500041,
Belgium,BEL,2020.0,unemployment_pct,SL.UEM.TOTL.ZS,5.545,
Belgium,BEL,2021.0,unemployment_pct,SL.UEM.TOTL.ZS,6.248,
Belgium,BEL,2022.0,unemployment_pct,SL.UEM.TOTL.ZS,5.57,
Belgium,BEL,2023.0,unemployment_pct,SL.UEM.TOTL.ZS,5.528,
Belgium,BEL,2024.0,unemployment_pct,SL.UEM.TOTL.ZS,5.488,
Canada,CAN,2020.0,current_account_pct_gdp,BN.CAB.XOKA.GD.ZS,-2.01049352658992,
Canada,CAN,2021.0,current_account_pct_gdp,BN.CAB.XOKA.GD.ZS,-0.0219632282728957,
Canada,CAN,2022.0,current_account_pct_gdp,BN.CAB.XOKA.GD.ZS,-0.288416485092606,
Canada,CAN,2023.0,current_account_pct_gdp,BN.CAB.XOKA.GD.ZS,-0.633319898544557,
Canada,CAN,2024.0,current_account_pct_gdp,BN.CAB.XOKA.GD.ZS,-0.461253819279705,
Canada,CAN,,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,,"HTTPSConnectionPool(host='api.worldbank.org', port=443): Read timed out. (read timeout=20)"
Canada,CAN,2020.0,gdp_per_capita_usd,NY.GDP.PCAP.CD,43537.839298904,
Canada,CAN,2021.0,gdp_per_capita_usd,NY.GDP.PCAP.CD,52886.6616372703,
Canada,CAN,2022.0,gdp_per_capita_usd,NY.GDP.PCAP.CD,56256.8007264015,
Canada,CAN,2023.0,gdp_per_capita_usd,NY.GDP.PCAP.CD,54220.3285039875,
Canada,CAN,2024.0,gdp_per_capita_usd,NY.GDP.PCAP.CD,54340.3477224733,
Canada,CAN,2020.0,gov_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,74.5544073791525,
Canada,CAN,2021.0,gov_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,68.7795713723483,
Canada,CAN,2022.0,gov_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,59.9440184640855,
Canada,CAN,2023.0,gov_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,62.4731322069255,
Canada,CAN,2024.0,gov_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,64.9003074523507,
Canada,CAN,2020.0,inflation_cpi_pct,FP.CPI.TOTL.ZG,0.716999632307827,
Canada,CAN,2021.0,inflation_cpi_pct,FP.CPI.TOTL.ZG,3.39519318527528,
Canada,CAN,2022.0,inflation_cpi_pct,FP.CPI.TOTL.ZG,6.80280115341613,
Canada,CAN,2023.0,inflation_cpi_pct,FP.CPI.TOTL.ZG,3.87900159788426,
Canada,CAN,2024.0,inflation_cpi_pct,FP.CPI.TOTL.ZG,2.38158383281173,
Canada,CAN,2020.0,unemployment_pct,SL.UEM.TOTL.ZS,9.657,
Canada,CAN,2021.0,unemployment_pct,SL.UEM.TOTL.ZS,7.527,
Canada,CAN,2022.0,unemployment_pct,SL.UEM.TOTL.ZS,5.279,
Canada,CAN,2023.0,unemployment_pct,SL.UEM.TOTL.ZS,5.415,
Canada,CAN,2024.0,unemployment_pct,SL.UEM.TOTL.ZS,6.45,
Chile,CHL,2020.0,current_account_pct_gdp,BN.CAB.XOKA.GD.ZS,-1.94941123362021,
Chile,CHL,2021.0,current_account_pct_gdp,BN.CAB.XOKA.GD.ZS,-7.28208296226132,
Chile,CHL,2022.0,current_account_pct_gdp,BN.CAB.XOKA.GD.ZS,-8.84931514465226,
Chile,CHL,2023.0,current_account_pct_gdp,BN.CAB.XOKA.GD.ZS,-3.12862449043213,
Chile,CHL,2024.0,current_account_pct_gdp,BN.CAB.XOKA.GD.ZS,-1.46933081175439,
Chile,CHL,2020.0,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,-6.14347479224092,
Chile,CHL,2021.0,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,11.3149204879049,
Chile,CHL,2022.0,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,2.15399356192458,
Chile,CHL,2023.0,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,0.521367977246825,
Chile,CHL,2024.0,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,2.64431154871538,
Chile,CHL,2020.0,gdp_per_capita_usd,NY.GDP.PCAP.CD,13114.815470545,
Chile,CHL,2021.0,gdp_per_capita_usd,NY.GDP.PCAP.CD,16206.8325493421,
Chile,CHL,2022.0,gdp_per_capita_usd,NY.GDP.PCAP.CD,15405.6165774073,
Chile,CHL,2023.0,gdp_per_capita_usd,NY.GDP.PCAP.CD,17067.0364799154,
Chile,CHL,2024.0,gdp_per_capita_usd,NY.GDP.PCAP.CD,16709.8893972307,
Chile,CHL,2020.0,gov_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,,
Chile,CHL,2021.0,gov_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,,
Chile,CHL,2022.0,gov_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,,
Chile,CHL,2023.0,gov_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,,
Chile,CHL,2024.0,gov_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,,
Chile,CHL,2020.0,inflation_cpi_pct,FP.CPI.TOTL.ZG,3.04549084804326,
Chile,CHL,2021.0,inflation_cpi_pct,FP.CPI.TOTL.ZG,4.52456838259144,
Chile,CHL,2022.0,inflation_cpi_pct,FP.CPI.TOTL.ZG,11.643866711056,
Chile,CHL,2023.0,inflation_cpi_pct,FP.CPI.TOTL.ZG,7.58168251407962,
Chile,CHL,2024.0,inflation_cpi_pct,FP.CPI.TOTL.ZG,4.29763891572524,
Chile,CHL,2020.0,unemployment_pct,SL.UEM.TOTL.ZS,10.934,
Chile,CHL,2021.0,unemployment_pct,SL.UEM.TOTL.ZS,9.281,
Chile,CHL,2022.0,unemployment_pct,SL.UEM.TOTL.ZS,8.249,
Chile,CHL,2023.0,unemployment_pct,SL.UEM.TOTL.ZS,9.013,
