country,iso3,gdp_per_capita_usd_2020,gdp_per_capita_usd_2024,gdp_per_capita_usd_change,gdp_growth_pct_2020,gdp_growth_pct_2024,gdp_growth_pct_change,unemployment_pct_2020,unemployment_pct_2024,unemployment_pct_change,inflation_cpi_pct_2020,inflation_cpi_pct_2024,inflation_cpi_pct_change,gov_debt_pct_gdp_2020,gov_debt_pct_gdp_2024,gov_debt_pct_gdp_change,current_account_pct_gdp_2020,current_account_pct_gdp_2024,current_account_pct_gdp_change
Italy,ITA,32091.4866621366,40385.3413957669,8293.854733630302,-8.86822122185345,0.692676948440536,9.560898170293985,9.164,6.778,-2.386,-0.13770757391651,0.982373023061417,1.120080596977927,,,,3.9369545603398,1.08253400174467,-2.85442055859513
Japan,JPN,40028.7341726762,32487.0778047567,-7541.656367919502,-4.16876457146743,0.104309021773304,4.273073593240734,2.809,2.563,-0.246,-0.024995834027731,2.73853681635241,2.763532650380141,,,,2.96847858242383,4.82314808005734,1.8546694976335103
Korea,KOR,33645.7719545073,36238.639908315,2592.867953807705,-0.700242317542106,2.00361101838986,2.7038533359319663,3.931,2.604,-1.327,0.537288023411737,2.32174328643542,1.784455263023683,43.7757991738024,,,4.35201499780346,5.28119455498379,0.9291795571803299
Latvia,LVA,17564.2321549354,23409.0845154775,5844.852360542103,,,,,,,0.219064904842156,1.26579885828729,1.046733953445134,,,,3.09270300452461,-1.57465157670388,-4.667354581228491
Lithuania,LTU,20428.6478157394,29384.0189598663,8955.371144126897,0.0428158336981426,2.77263124530285,2.7298154116047075,8.487,7.504,-0.9830000000000005,1.19989444983569,0.715735835228723,-0.4841586146069671,,,,7.22470104088843,3.26568276980857,-3.95901827107986
Luxembourg,LUX,116860.02817236,137781.681659123,20921.65348676298,-0.510051634039826,0.35861253942069,0.868664173460516,6.766,5.935,-0.8310000000000004,0.819957302127036,2.05113269954859,1.2311753974215542,,,,4.87511550397285,4.39539454622425,-0.4797209577485999
Mexico,MEX,8841.27075039868,14185.7812248529,5344.5104744542205,-8.35403458167995,1.42742769080466,9.78146227248461,4.44,2.711,-1.7290000000000005,3.39683415570006,4.72225588452932,1.3254217288292596,45.8373464334068,,,2.39690767800282,-0.901772757867301,-3.298680435870121
Netherlands,NLD,53467.9277413737,67520.4218956281,14052.494154254397,-3.86795333823223,1.08100584845663,4.94895918668886,3.82,3.599,-0.22099999999999964,1.27246037789161,3.34754304219953,2.07508266430792,,,,5.72296366531146,9.12996820020418,3.40700453489272
New Zealand,NZL,41997.7830324279,49205.1792146792,7207.396182251301,-0.307246896026541,1.28862004711685,1.595866943143391,4.595,4.869,0.274,1.71456170007245,2.92279782301957,1.20823612294712,46.0466265250956,,,-1.08410494847097,-4.65310184058939,-3.5689968921184194
Norway,NOR,68340.0181033702,86785.4334489176,18445.4153455474,-1.27817177234034,2.09723059960317,3.37540237194351,4.424,3.97,-0.4540000000000002,1.28658490708005,3.14530134431073,1.8587164372306801,,,,1.14557292891118,14.8151795815579,13.669606652646719
