country,iso3,year,gdp_per_capita_usd,gdp_growth_pct,unemployment_pct,inflation_cpi_pct,gov_debt_pct_gdp,current_account_pct_gdp
Australia,AUS,2020.0,51983.4523666382,-0.133531904304775,6.456,0.846905537459305,69.0656538994855,1.86741781543883
Australia,AUS,2021.0,60758.9044397144,2.00694844335034,5.116,2.86391042204994,69.836773674895,2.62544820701792
Australia,AUS,2022.0,65169.5191118657,4.25304559238732,3.728,6.59409671341846,57.8834285733848,0.374773982764545
Australia,AUS,2023.0,65058.3773146674,3.58382100798981,3.668,5.5970149253731,,-0.234060559907305
Australia,AUS,2024.0,64603.9856308464,1.37340773365975,4.072,3.1616142830575,,-1.97811216711747
Austria,AUT,,,,,,,
Austria,AUT,2020.0,48716.4098900349,,5.201,1.38191063351862,,3.3513779974929
Austria,AUT,2021.0,53648.6437976214,,6.459,2.7666666666667,,1.71590187553909
Austria,AUT,2022.0,52336.7725223758,,4.992,8.5468699318845,,-0.826550284589038
Austria,AUT,2023.0,56579.504175468,,5.264,7.81413417002832,,1.31277352992302
Austria,AUT,2024.0,58268.8787651601,,5.439,2.93791574279383,,1.53088550116276
Belgium,BEL,2020.0,45906.2875805246,-4.7929839083518,5.545,0.740791812220344,,0.903941469932536
Belgium,BEL,2021.0,51658.238294958,6.25445686466593,6.248,2.44024851144084,,1.86830945601438
Belgium,BEL,2022.0,50605.7496677086,3.9562379757933,5.57,9.597511728725,,-1.82151513615887
Belgium,BEL,2023.0,55291.4754541329,1.71412195515242,5.528,4.04901077613941,,0.18229339540671
Belgium,BEL,2024.0,56614.5679499036,1.07045413019414,5.488,3.14349136500041,,-0.378788145846837
Canada,CAN,,,,,,,
Canada,CAN,2020.0,43537.839298904,,9.657,0.716999632307827,74.5544073791525,-2.01049352658992
Canada,CAN,2021.0,52886.6616372703,,7.527,3.39519318527528,68.7795713723483,-0.0219632282728957
Canada,CAN,2022.0,56256.8007264015,,5.279,6.80280115341613,59.9440184640855,-0.288416485092606
Canada,CAN,2023.0,54220.3285039875,,5.415,3.87900159788426,62.4731322069255,-0.633319898544557
Canada,CAN,2024.0,54340.3477224733,,6.45,2.38158383281173,64.9003074523507,-0.461253819279705
Chile,CHL,2020.0,13114.815470545,-6.14347479224092,10.934,3.04549084804326,,-1.94941123362021
Chile,CHL,2021.0,16206.8325493421,11.3149204879049,9.281,4.52456838259144,,-7.28208296226132
Chile,CHL,2022.0,15405.6165774073,2.15399356192458,8.249,11.643866711056,,-8.84931514465226
Chile,CHL,2023.0,17067.0364799154,0.521367977246825,9.013,7.58168251407962,,-3.12862449043213
Chile,CHL,2024.0,16709.8893972307,2.64431154871538,9.056,4.29763891572524,,-1.46933081175439
Colombia,COL,2020.0,5339.68711357943,-7.18591413760859,15.983,2.52663500084706,91.1566069420143,-3.42772945914236
Colombia,COL,2021.0,6222.62164397614,10.8011981904878,13.898,3.49505757399448,80.4259616026375,-5.6351694946032
Colombia,COL,2022.0,6680.44506854481,7.32827729427979,10.547,10.1772313546166,70.2611600056829,-6.03319158039541
Colombia,COL,2023.0,7000.83660501046,0.712380031974334,9.594,11.7359044948689,71.3312731846403,-2.26135796371581
Colombia,COL,2024.0,7919.20886825345,1.5983315366523,9.608,6.60908593728228,71.483126167997,-1.64274510323396
Costa Rica,CRI,2020.0,12394.0493969492,-4.27335432161462,16.432,0.724911478131376,,-1.0451399398849
Costa Rica,CRI,2021.0,12838.1185358931,7.93576224743147,15.139,1.72647755109241,,-3.17593347841434
Costa Rica,CRI,2022.0,13625.9008491328,4.55149177958398,11.325,8.27477490232654,,-3.28139915247022
Costa Rica,CRI,2023.0,16942.0268119375,5.11192183224598,8.325,0.525193508693455,,-1.4326435676152
Costa Rica,CRI,2024.0,18587.1532203482,4.32122429646145,7.848,-0.412853001047069,,-1.30974019221641
Czechia,CZE,2020.0,23472.8915454417,-5.30487955463876,2.55,3.16129528497801,,1.7852008079583
Czechia,CZE,2021.0,27696.4619527544,4.02901832055149,2.803,3.83984491500146,,-2.04624111898244
Czechia,CZE,2022.0,28282.2236715857,2.8471706583814,2.224,15.1001651468371,,-4.52048439437013
Czechia,CZE,2023.0,31761.5944102491,0.0475803308973752,2.579,10.6612601372426,,-0.125406557037842
Czechia,CZE,2024.0,31823.3078290564,1.23308611983484,2.506,2.43531202435314,,1.74244358000018
Denmark,DNK,2020.0,60985.4885601514,-1.78010601831291,5.637,0.420711974110115,,7.31174171634934
Denmark,DNK,2021.0,69340.7334922138,6.50025445756295,5.043,1.8530454398968,,8.60686861056622
Denmark,DNK,2022.0,67781.0940939514,0.443832614908331,4.434,7.6965669988926,,11.1530363234679
Denmark,DNK,2023.0,68043.5466971243,0.604587766175584,5.094,3.30517811237606,,11.0971102484847
Denmark,DNK,2024.0,71026.4832271897,3.47783593140312,5.587,1.37220049768918,,12.2782622922388
Estonia,EST,2020.0,23933.9939421065,-2.88380751483778,6.956,-0.44453109767983,,-2.7306242700292
Estonia,EST,2021.0,27951.1659277744,8.25488044580031,6.178,4.65316673847473,,-3.72881552541849
Estonia,EST,2022.0,28340.3826549406,-1.22616966587796,5.571,19.3982634080616,,-3.91323342632091
Estonia,EST,2023.0,30264.0064885057,-2.74421914571231,6.378,9.15922507983982,,-1.7426150208666
Estonia,EST,2024.0,31428.3547816104,-0.0900428648493801,7.828,3.52056053296586,,-1.25864024197608
Finland,FIN,2020.0,48828.6846862799,-2.49103605535707,7.759,0.290554555653239,,0.529983303828095
Finland,FIN,2021.0,53099.1351400148,2.67634641498897,7.617,2.19457432340007,,0.326640931588569
Finland,FIN,2022.0,50440.560224974,0.763041912763526,6.719,7.12350773301402,,-2.50692650482939
Finland,FIN,2023.0,52834.2916752703,-0.939093459613758,7.151,6.25064322154763,,-0.92660922528218
Finland,FIN,2024.0,53149.7671934051,0.416171964862073,8.26,1.56568906231616,,-0.665363108803007
France,FRA,2020.0,39169.8606000707,-7.44064589948231,8.009,0.476498852725066,,-2.00313613657686
France,FRA,2021.0,43725.0999521245,6.88233783360239,7.874,1.64233141038385,,0.244238511780542
France,FRA,2022.0,40988.6396406579,2.71676264185913,7.308,5.22236748369735,,-1.43234855251881
France,FRA,2023.0,44700.1384177544,1.43921494437743,7.335,4.87835726508441,,-1.04301703799496
France,FRA,2024.0,46103.0840855884,1.19046798275883,7.37,1.99904942291463,,0.0851279883251641
Germany,DEU,2020.0,47394.8734504469,-4.13191443239947,3.881,0.144877925813982,,6.34782686016016
Germany,DEU,2021.0,52349.2459994422,3.90999994204108,3.594,3.06666666666673,,6.9200696637534
Germany,DEU,2022.0,50506.5179638543,1.8092581243061,3.12,6.87257438551097,,3.85045627175846
Germany,DEU,2023.0,54776.7668235491,-0.869647578573321,3.068,5.94643667725823,,5.51222510245724
Germany,DEU,2024.0,56103.7323182554,-0.495851897260366,3.406,2.2564981433876,,5.77188467199732
Greece,GRC,,,,,,,
Greece,GRC,2020.0,,-9.19623149726978,15.899,-1.24798355581405,,-6.4866420039279
Greece,GRC,2021.0,,8.65449786002131,14.656,1.22382501019854,,-6.34795283469092
Greece,GRC,2022.0,,5.52198580589408,12.426,9.64525981280632,,-10.8779875356727
Greece,GRC,2023.0,,2.13591131996631,11.066,3.46480128513405,,-6.77841375377555
Greece,GRC,2024.0,,2.0865743380603,10.133,2.74149045788606,,-7.10950344070572
Hungary,HUN,2020.0,16386.9308821258,-4.33872540024058,4.25,3.32674385766738,95.2231106008826,-1.03428088875148
Hungary,HUN,2021.0,19030.628130329,7.22291580811137,4.045,5.11096534382855,86.3675279469398,-4.28505680487641
Hungary,HUN,2022.0,18428.028825614,4.15238057779229,3.609,14.6081439492433,75.527467420073,-8.86819485242409
Hungary,HUN,2023.0,22230.6277875187,-0.817107370513455,4.107,17.1249659678737,,-0.0036153186072709
Hungary,HUN,2024.0,23292.3263882478,0.560117843140432,4.434,3.70370370370369,,1.58180029565553
Iceland,ISL,2020.0,60127.9393575616,-6.64587816297836,5.478,2.84792401518665,98.4737480726843,1.89912365465564
Iceland,ISL,2021.0,70425.4064277273,5.1805719742238,6.029,4.44423970189739,94.3257130305097,-2.57256903046463
Iceland,ISL,2022.0,76350.4550416502,8.82069395623492,3.789,8.3087551155892,85.119675075089,-1.86900848854223
Iceland,ISL,2023.0,82138.7892973557,5.18615760140189,3.518,8.73630299937298,80.155194222013,-1.00360107585175
Iceland,ISL,2024.0,86040.5309851288,-0.970676468918384,3.107,5.85683849970066,,-2.60701511674342
Ireland,IRL,2020.0,86514.0706108754,7.15369505735335,5.623,-0.326183651280033,,-6.72117635432936
Ireland,IRL,2021.0,103783.446284479,16.2581881158197,6.364,2.34034113447044,,12.2773633997729
Ireland,IRL,2022.0,105190.685952731,7.51113888415304,4.501,7.82945736434105,,8.83145214804832
Ireland,IRL,2023.0,106818.917130804,-2.53637409313261,4.288,6.29942487419125,,7.88616983666685
Ireland,IRL,2024.0,112894.953240805,2.59946721553708,4.369,2.11344999577317,,17.3995604849009
Israel,ISR,2020.0,44575.5719045492,-2.02161548237589,4.169,-0.575254620897756,,3.74135443993414
Israel,ISR,2021.0,52270.9040241956,9.38837403354628,4.812,1.47965474722561,,3.02089479982974
Israel,ISR,2022.0,54949.621556429,6.26326343841286,3.695,4.41162725488371,,2.68983451117337
